City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
271,La Ronge,55.1001,-105.2842,50.25,50,0,12.66,CA,clear sky
272,Parvatsar,26.8833,74.7667,69.28,50,0,5.01,IN,clear sky
273,Emba,48.8264,58.1442,37.2,65,6,3.76,KZ,clear sky
274,Atar,20.5169,-13.0499,90.9,12,98,9.35,MR,overcast clouds
275,Shenjiamen,29.9576,122.298,63.48,57,100,23.15,CN,overcast clouds
276,Markova,48.6758,24.4138,52.43,79,15,5.01,UA,few clouds
277,Aklavik,68.2191,-135.0107,27.1,91,100,4.16,CA,overcast clouds
278,Adrar,20.5022,-10.0711,85.1,11,100,9.89,MR,overcast clouds
279,Tutoia,-2.7619,-42.2744,80.02,79,49,16.31,BR,scattered clouds
280,Harwich,51.9419,1.2844,52.21,90,100,4.0,GB,overcast clouds
281,Korla,41.7597,86.1469,52.65,23,98,3.2,CN,overcast clouds
282,Trincomalee,8.5711,81.2335,78.66,82,100,15.37,LK,overcast clouds
283,Saint-Augustin,51.226,-58.6502,46.26,92,9,5.79,CA,clear sky
284,Niquero,20.0431,-77.5828,78.98,81,10,4.32,CU,clear sky
285,Metro,-5.1131,105.3067,79.79,83,100,4.9,ID,overcast clouds
286,Jiaozuo,35.2397,113.2331,56.37,25,0,2.19,CN,clear sky
287,Pacific Grove,36.6177,-121.9166,71.89,75,0,8.05,US,clear sky
288,Sumkino,58.1108,68.3244,37.67,95,99,5.08,RU,overcast clouds
289,Maniitsoq,65.4167,-52.9,37.72,94,100,16.08,GL,moderate rain
290,Olga,43.7444,135.2892,45.19,50,6,13.87,RU,clear sky
291,Hobbs,32.7026,-103.136,55.99,67,100,5.75,US,overcast clouds
292,Anton Lizardo,19.05,-95.9833,81.21,83,52,4.36,MX,broken clouds
293,Broken Hill,-31.95,141.4333,63.77,44,96,14.05,AU,overcast clouds
294,Dunmore Town,25.5,-76.65,82.02,64,43,9.84,BS,scattered clouds
295,Saint George,37.1041,-113.5841,83.43,22,0,1.01,US,clear sky
296,Edd,13.9297,41.6925,86.04,54,0,12.21,ER,clear sky
297,Comodoro Rivadavia,-45.8667,-67.5,71.46,28,0,9.22,AR,clear sky
298,Coos Bay,43.3665,-124.2179,66.18,81,0,8.05,US,clear sky
299,Vestmanna,62.1564,-7.1664,41.92,75,20,9.22,FO,few clouds
300,Sirur,18.8333,74.3833,73.22,88,100,1.14,IN,overcast clouds
301,Najran,17.4924,44.1277,63.25,28,100,1.34,SA,overcast clouds
302,Ambatofinandrahana,-20.55,46.8,52.48,93,11,3.74,MG,few clouds
303,Kieta,-6.2167,155.6333,85.08,65,54,6.53,PG,broken clouds
304,Shakawe,-18.3667,21.85,68.67,48,60,6.62,BW,broken clouds
305,Georgetown,5.4112,100.3354,80.53,88,20,3.44,MY,few clouds
306,Carnarvon,-24.8667,113.6333,71.49,35,0,15.93,AU,clear sky
307,Talcahuano,-36.7167,-73.1167,51.48,93,100,4.61,CL,overcast clouds
308,Constitucion,-35.3333,-72.4167,53.15,80,91,5.01,CL,overcast clouds
309,Vao,-22.6667,167.4833,73.56,73,13,7.29,NC,few clouds
310,Kantang,7.4054,99.5156,77.09,94,75,1.14,TH,moderate rain
311,Vardo,70.3705,31.1107,37.38,81,20,14.97,NO,few clouds
312,Cabedelo,-6.9811,-34.8339,77.67,79,22,13.85,BR,few clouds
313,Skelleftea,64.7507,20.9528,37.76,100,6,9.22,SE,clear sky
314,Namibe,-15.1961,12.1522,65.3,90,36,6.85,AO,scattered clouds
315,Soligalich,59.0778,42.2864,43.68,83,96,11.59,RU,overcast clouds
316,Vagay,57.9375,69.0217,37.45,94,100,4.36,RU,overcast clouds
317,Atasu,48.6814,71.6433,34.05,83,9,4.52,KZ,clear sky
318,Boyolangu,-8.1181,111.8935,78.15,85,100,5.46,ID,moderate rain
319,Blackwater,-23.5833,148.8833,80.96,55,92,13.8,AU,overcast clouds
320,Grand Island,40.925,-98.342,44.89,25,75,8.05,US,broken clouds
321,Naze,28.3667,129.4833,65.32,75,100,22.5,JP,light rain
322,Ust-Omchug,61.15,149.6333,5.18,91,89,9.08,RU,overcast clouds
323,Teknaf,20.8624,92.3058,78.44,88,98,4.0,BD,overcast clouds
324,Laiwu,36.1928,117.6569,50.27,27,0,1.21,CN,clear sky
325,Rawson,-43.3002,-65.1023,58.32,62,0,24.49,AR,clear sky
326,Jutai,-5.1833,-68.9,75.15,91,100,0.92,BR,overcast clouds
327,Hede,33.7681,120.2517,59.22,46,3,8.19,CN,clear sky
328,Avera,33.194,-82.5271,69.85,57,0,12.66,US,clear sky
329,Noyabrsk,63.1994,75.4507,37.31,96,100,2.84,RU,overcast clouds
330,Fukue,32.6881,128.8419,62.96,59,75,16.11,JP,broken clouds
331,Portland,45.5234,-122.6762,71.82,65,40,3.44,US,smoke
332,Dakar,14.6937,-17.4441,82.53,89,0,0.0,SN,clear sky
333,Hvide Sande,56.0045,8.1294,52.09,79,0,21.32,DK,clear sky
334,Takoradi,4.8845,-1.7554,77.29,87,15,4.94,GH,few clouds
335,Oistins,13.0667,-59.5333,80.69,83,20,10.36,BB,few clouds
336,Port Blair,11.6667,92.75,77.04,94,75,2.3,IN,mist
337,Nemuro,43.3236,145.575,49.41,60,6,17.02,JP,clear sky
